ds,yhat,yhat_lower,yhat_upper
2023-01-01,19537.46807416292,15455.86744190675,23597.81156921571
2023-01-02,19836.712072760864,15731.397597249394,23543.63760465337
2023-01-03,19721.297447657857,15700.624724822146,24029.910769814953
2023-01-04,19804.31114567472,15566.381064340188,23557.10584189955
2023-01-05,19815.68369556188,15821.779583808542,24005.085086694406
2023-01-06,19942.678503913954,16033.397584943426,23988.397253409315
2023-01-07,19996.149621521316,16154.680440556738,24184.490037994346
2023-01-08,20107.053854414804,16201.918577598595,24372.34588759533
2023-01-09,20406.29785301244,16335.492969247687,24208.674306251774
2023-01-10,20290.88322790932,15975.160048362368,24568.72804747497
2023-01-11,20373.8969259261,16040.153532159637,24374.004865148952
2023-01-12,20385.269475813897,16602.989118819456,24721.414386351862
2023-01-13,20512.26428416578,16323.5758170518,24653.06771672326
2023-01-14,20565.7354017725,16769.316832578377,24757.21795802062
2023-01-15,20676.639634666353,16429.04370786515,24801.41452699462
2023-01-16,20975.883633263737,16558.56153786075,24874.51632629255
2023-01-17,20860.469008160693,16735.63692949775,24965.25582132065
2023-01-18,20943.48270617753,17032.497351218142,25207.32381122361
2023-01-19,20954.85525606515,16716.006981768372,24875.09486556027
2023-01-20,21081.850064417158,16976.35233808225,25158.50594292999
2023-01-21,21135.321182024552,16807.70443466641,25026.542633430676
2023-01-22,21246.22541491791,17479.418477286938,25408.55530167251
2023-01-23,21545.46941453674,17412.83583023325,25793.319648569515
2023-01-24,21430.05479045462,17522.33210658614,25529.888804351503
2023-01-25,21513.06848949302,17418.086382269466,25466.11876918377
2023-01-26,21524.441040401885,17273.732905485947,25609.92110945861
2023-01-27,21651.43584977555,17570.96068492437,25469.435943625784
2023-01-28,21704.906968403357,17645.36835692877,26104.258010480902
2023-01-29,21815.81120231839,17799.49305643891,26089.447305629605
2023-01-30,22115.055201937077,17720.684721253794,26110.55420712414
2023-01-31,21999.640577854963,18330.102124435645,25987.415590068813
2023-02-01,22082.654276893554,18186.069993928337,26174.89380639305
2023-02-02,22094.026827802445,17932.569096829553,26149.15571600583
2023-02-03,22221.021637175407,18224.647840422436,26407.107110453006
2023-02-04,22274.492755804335,18150.585476479948,25984.41084225595
2023-02-05,22385.396989719196,18299.69483361259,26296.293287746637
2023-02-06,22684.640989337582,18323.083603812338,26976.871407293518
2023-02-07,22569.226365255858,18725.630118375833,26733.221524609136
2023-02-08,22652.24006429415,18555.275794065892,26762.34672512292
2023-02-09,22663.612615203012,18279.761775226314,26877.17552996885
2023-02-10,22790.607424576167,18628.207224664202,26860.16382282236
2023-02-11,22844.078543204454,19164.492931809007,27088.259890892314
2023-02-12,22954.98277711906,18738.60058072852,27375.87506798635
